%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,ethVlanID,srcIP,srcIPCC,srcIPWho,srcPort,dstIP,dstIPCC,dstIPWho,dstPort,l4Proto,macPairs,srcMac_dstMac_numP,srcManuf_dstManuf,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipTOS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpTmS,tcpTmER,tcpEcI,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStates,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF
A,695,0x0000000000004000,1560541962.19688,1560541962.19688,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,57913,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,2097152,2097152,2097152,2097152,0,0,0,0,0x02,0x0000,1,6,0x0000001e,1460,8,0,0,0,0,0,65535,0,0,0,5E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,2,2,1
B,695,0x0000000000004001,1560541962.19693,1560541962.19693,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,57913,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,5E-05,5E-05,5E-05,5E-05,0,5E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,1,1,0.5
A,696,0x0000000000004000,1560541962.6961,1560541962.6961,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,57913,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,0,0x02,0x0000,1,4,0x00000016,1460,0,0,0,0,0,0,65535,0,0,0,5E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,2,2,1
B,696,0x0000000000004001,1560541962.69615,1560541962.69615,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,57913,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,5E-05,5E-05,5E-05,5E-05,0,5E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,1,1,0.5
A,697,0x0000000000004000,1560541962.89965,1560541962.89965,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,58040,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,2097152,2097152,2097152,2097152,0,0,0,0,0x02,0x0000,1,6,0x0000001e,1460,8,0,0,0,0,0,65535,0,0,0,4.2E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,2,2,1
B,697,0x0000000000004001,1560541962.89969,1560541962.89969,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,58040,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,4.2E-05,4.2E-05,4.2E-05,4.2E-05,0,4.2E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,1,1,0.5
A,698,0x0000000000004000,1560541963.42114,1560541963.42114,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,58040,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,2097152,2097152,2097152,2097152,0,0,0,0,0x02,0x0000,1,6,0x0000001e,1460,8,0,0,0,0,0,65535,0,0,0,9E-06,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,2,2,1
B,698,0x0000000000004001,1560541963.42115,1560541963.42115,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,58040,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,9E-06,9E-06,9E-06,9E-06,0,9E-06,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,1,1,0.5
A,700,0x0000000000004000,1560541963.92835,1560541963.92835,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,58040,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,0,0x02,0x0000,1,4,0x00000016,1460,0,0,0,0,0,0,65535,0,0,0,3.7E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,2,2,1
B,700,0x0000000000004001,1560541963.92838,1560541963.92838,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,58040,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,3.7E-05,3.7E-05,3.7E-05,3.7E-05,0,3.7E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,1,1,0.5
