#num	clst	ipv	ip	tcp	qopt	ittl	olen	mss	wsize_ws	num_tcpopt	tcpopt	pldl	Nclass	Nprog	Nver	class	prog	ver	vOS	comment
58	0x18	0x00	0x40	0x02	0x0040	64	0	0	65535,0	5	0x02,0x01,0x03,0x04,0x08	0	2	4	0	unix	FreeBSD			 FreeBSD
59	0x08	0x00	0x40	0x02	0x0040	64	0	0	16384,0	9	0x02,0x01,0x01,0x04,0x01,0x03,0x01,0x01,0x08	0	2	3	25	unix	OpenBSD	3.x		 OpenBSD
60	0x08	0x00	0x40	0x02	0x0040	64	0	0	131072,3	9	0x02,0x01,0x01,0x04,0x01,0x03,0x01,0x01,0x08	0	2	3	28	unix	OpenBSD	4.x-5.x		 OpenBSD
61	0x08	0x00	0x40	0x02	0x0040	64	0	0	65700,1	9	0x01,0x03,0x01,0x01,0x08,0x01,0x01,0x04,0x02	0	2	5	34	unix	Solaris	8		 Solaris
62	0x0a	0x00	0x40	0x02	0x0040	64	0	0	34,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	2	5	5	unix	Solaris	10		 Solaris
63	0x04	0x04	0x00	0x02	0x0000	128	0	1460	3000,0	3	0x02,0x01,0x03	0	2	8	35	unix	OpenVMS	8.x		 OpenVMS
64	0x00	0x04	0x00	0x02	0x0000	64	0	1460	61440,0	3	0x02,0x01,0x03	0	2	8	33	unix	OpenVMS	7.x		 OpenVMS
65	0x02	0x04	0x00	0x02	0x0000	64	0	1024	4096,0	1	0x02	0	3	12	0	other	NeXTSTEP			 NeXTSTEP
66	0x00	0x04	0x40	0x02	0x0040	64	0	1460	32768,0	3	0x02,0x01,0x03	0	2	16	27	unix	Tru64	4.x		 Tru64
67	0x00	0x00	0x00	0x02	0x0000	64	0	1460	1024,0	1	0x02	0	0	14	46	!	NMap	SYN scan	 unix,win	 NMap
68	0x00	0x00	0x00	0x02	0x0000	64	0	1460	2048,0	1	0x02	0	0	14	46	!	NMap	SYN scan	 unix,win	 NMap
69	0x00	0x00	0x00	0x02	0x0000	64	0	1460	3072,0	1	0x02	0	0	14	46	!	NMap	SYN scan	 unix,win	 NMap
70	0x00	0x00	0x00	0x02	0x0000	64	0	1460	4096,0	1	0x02	0	0	14	46	!	NMap	SYN scan	 unix,win	 NMap
71	0x00	0x00	0x00	0x12	0x0000	64	0	265	512,0	3	0x02,0x04,0x08	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
72	0x00	0x00	0x00	0x12	0x0000	64	0	0	4096,10	4	0x04,0x08,0x03,0x0000	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
73	0x00	0x00	0x00	0x12	0x0000	64	0	1460	1024,10	5	0x03,0x01,0x02,0x08,0x04	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
74	0x00	0x00	0x00	0x12	0x0000	64	0	536	16384,10	5	0x02,0x04,0x08,0x03,0x0000	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
75	0x00	0x00	0x00	0x12	0x0000	64	0	640	128,5	6	0x08,0x01,0x01,0x03,0x01,0x02	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
76	0x00	0x00	0x00	0x12	0x0000	64	0	1400	63,0	5	0x02,0x03,0x04,0x08,0x0000	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
77	0x00	0x00	0x00	0x12	0x0000	64	0	265	32089088,10	5	0x03,0x01,0x02,0x08,0x04	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
78	0x00	0x00	0x02	0x22	0x0000	64	0	1460	3072,10	6	0x03,0x01,0x02,0x04,0x01,0x01	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
79	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,0	3	0x02,0x01,0x1200	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
80	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,0	4	0x02,0x08,0x01,0x0800	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
81	0x00	0x00	0x00	0x02	0x0000	192	0	1331	42784,5	4	0x02,0x03,0x01,0x0f00	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
82	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,0	4	0x02,0x04,0x01,0x1000	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
83	0x00	0x00	0x00	0x02	0x0000	192	0	1331	42784,5	5	0x02,0x03,0x08,0x01,0x0500	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
84	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,0	5	0x02,0x04,0x08,0x01,0x0600	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
85	0x00	0x00	0x00	0x02	0x0000	192	0	1331	42784,5	5	0x02,0x03,0x04,0x01,0x0d00	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
86	0x00	0x00	0x00	0x02	0x0000	192	0	1331	42784,5	6	0x02,0x03,0x04,0x08,0x01,0x0300	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
87	0x00	0x00	0x00	0x02	0x0000	128	0	1452	65535,0	7	0x02,0x01,0x01,0x04,0x01,0x01,0x08	0	3	11	0	other	Blackberry		 unix,win	 Odds and ends
88	0x00	0x00	0x40	0x02	0x0040	64	0	1360	32768,0	4	0x02,0x01,0x01,0x04	0	3	13	24	other	Nintendo	3DS	 unix,win	 Odds and ends
89	0x00	0x04	0x40	0x02	0x0040	64	0	1460	32768,0	4	0x02,0x01,0x01,0x04	0	3	13	47	other	Nintendo	Wii	 unix,win	 Odds and ends
90	0x02	0x00	0x40	0x02	0x0040	64	0	1460	747520,7	14	0x02,0x04,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x03	0	2	10	0	unix	BaiduSpider		 unix,win	 Odds and ends
91	0x02	0x00	0x40	0x02	0x0040	64	0	1460	23360,2	14	0x02,0x04,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x03	0	2	10	0	unix	BaiduSpider		 unix,win	 Odds and ends
92	0x0a	0x00	0x40	0x12	0x0000	64	0	0	10,0	1	0x02	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
93	0x0a	0x00	0x40	0x12	0x0000	64	0	0	10,0	3	0x02,0x04,0x08	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
94	0x0a	0x00	0x40	0x12	0x0000	64	0	0	10,0	4	0x02,0x01,0x01,0x08	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
95	0x0a	0x00	0x40	0x12	0x0000	64	0	0	10,0	4	0x02,0x01,0x01,0x04	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
96	0x1a	0x00	0x40	0x12	0x0000	64	0	0	10,0	3	0x02,0x01,0x03	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
97	0x1a	0x00	0x40	0x12	0x0000	64	0	0	10,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
98	0x1a	0x00	0x40	0x12	0x0000	64	0	0	10,0	6	0x02,0x01,0x01,0x08,0x01,0x03	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
99	0x1a	0x00	0x40	0x12	0x0000	64	0	0	10,0	6	0x02,0x01,0x01,0x04,0x01,0x03	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
100	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	1	0x02	0	2	2	15	unix	Linux	2.4-2.6	 unix,win	 to get a full set of up to 8 signatures.
101	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	3	0x02,0x04,0x08	0	2	2	15	unix	Linux	2.4-2.6	 unix,win	 to get a full set of up to 8 signatures.
102	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	4	0x02,0x01,0x01,0x08	0	2	2	15	unix	Linux	2.4-2.6	 unix,win	 to get a full set of up to 8 signatures.
