#num	clst	ipv	ip	tcp	qopt	ittl	olen	mss	wsize_ws	num_tcpopt	tcpopt	pldl	Nclass	Nprog	Nver	class	prog	ver	vOS	comment
138	0x08	0x00	0x40	0x12	0x0040	64	0	0	4194240,6	5	0x02,0x01,0x03,0x04,0x0100	0	2	4	37	unix	FreeBSD	9.x	 unix,win	 FreeBSD
139	0x08	0x00	0x40	0x12	0x0040	64	0	0	4194240,6	6	0x02,0x01,0x03,0x01,0x01,0x08	0	2	4	37	unix	FreeBSD	9.x	 unix,win	 FreeBSD
140	0x08	0x00	0x40	0x12	0x0040	64	0	0	524280,3	3	0x02,0x01,0x03	0	2	4	35	unix	FreeBSD	8.x	 unix,win	 FreeBSD
141	0x08	0x00	0x40	0x12	0x0040	64	0	0	524280,3	5	0x02,0x01,0x03,0x04,0x08	0	2	4	35	unix	FreeBSD	8.x	 unix,win	 FreeBSD
142	0x08	0x00	0x40	0x12	0x0040	64	0	0	524280,3	5	0x02,0x01,0x03,0x04,0x0100	0	2	4	35	unix	FreeBSD	8.x	 unix,win	 FreeBSD
143	0x08	0x00	0x40	0x12	0x0040	64	0	0	524280,3	6	0x02,0x01,0x03,0x01,0x01,0x08	0	2	4	35	unix	FreeBSD	8.x	 unix,win	 FreeBSD
144	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	3	0x02,0x04,0x08	0	2	4	36	unix	FreeBSD	8.x-9.x	 unix,win	 FreeBSD
145	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	3	0x02,0x04,0x0100	0	2	4	36	unix	FreeBSD	8.x-9.x	 unix,win	 FreeBSD
146	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	4	0x02,0x01,0x01,0x08	0	2	4	36	unix	FreeBSD	8.x-9.x	 unix,win	 FreeBSD
147	0x00	0x00	0x40	0x12	0x0040	64	0	1460	16384,0	4	0x02,0x01,0x01,0x04	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
148	0x00	0x00	0x40	0x12	0x0040	64	0	1460	131072,3	3	0x02,0x01,0x03	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
