0x81E6-0x81EF 	Polygon
0x81F0-0x81F2 	Comsat Labs
0x81F3-0x81F5 	SAIC
0x81F6-0x81F8 	VG Analytical
0x8203-0x8205 	Quantum Software
0x8204 	QNX Qnet
0x8221-0x8222 	Ascom Banking Systems
0x823E-0x8240 	Advanced Encryption Syste
0x8263-0x826A 	Charles River Data System
0x827F-0x8282 	Athena Programming
0x829A-0x829B 	Inst Ind Info Tech
0x829C-0x82AB 	Taurus Controls
0x82AC-0x8693 	Walker Richer & Quinn
0x8694-0x869D 	Idea Courier
0x869E-0x86A1 	Computer Network Tech
0x86A3-0x86AC 	Gateway Communications
0x86DB 	SECTRA
0x86DD 	Internet Protocol version 6 (IPv6)
0x86DE 	Delta Controls
0x86DF 	ATOMIC
0x86E0-0x86EF 	Landis & Gyr Powers
0x8700-0x8710 	Motorola
0x876B 	TCP/IP Compression
0x876C 	IP Autonomous Systems
0x876D 	Secure Data
0x8808 	IEEE Std 802.3 - Ethernet Passive Optical Network (EPON)
0x8809 	Slow Protocols (IEEE 802.3)
0x880B 	Point-to-Point Protocol (PPP)
0x880C 	General Switch Management Protocol (GSMP)
0x8819 	CobraNet
0x8847 	MPLS unicast
0x8848 	MPLS multicast
0x8861 	Multicast Channel Allocation Protocol (MCAP)
0x8863 	PPPoE Discovery Stage
0x8863 	PPP over Ethernet (PPPoE) Discovery Stage
0x8864 	PPPoE Session Stage
0x8870	Jumbo Frames
0x887B 	HomePlug 1.0 MME
0x888E 	EAP over LAN (IEEE 802.1X)
0x8892 	PROFINET Protocol
0x889A 	HyperSCSI (SCSI over Ethernet)
0x88A2 	ATA over Ethernet
0x88A4 	EtherCAT Protocol
0x88A8 	IEEE Std 802.1Q - Service VLAN tag identifier (S-Tag)
0x88A8 	Provider Bridging (IEEE 802.1ad) & Shortest Path Bridging IEEE 802.1aq
0x88AB 	Ethernet Powerlink[citation needed]
0x88B5 	IEEE Std 802 - Local Experimental Ethertype
0x88B6 	IEEE Std 802 - Local Experimental Ethertype
0x88B7 	IEEE Std 802 - OUI Extended Ethertype
0x88C7 	IEEE Std 802.11 - Pre-Authentication (802.11i)
0x88CC 	IEEE Std 802.1AB - Link Layer Discovery Protocol (LLDP)
0x88CD 	SERCOS III
0x88E1 	HomePlug AV MME[citation needed]
0x88E3 	Media Redundancy Protocol (IEC62439-2)
0x88E5 	MAC security (IEEE 802.1AE)
0x88F5 	IEEE Std 802.1Q - Multiple VLAN Registration Protocol (MVRP)
0x88F6 	IEEE Std 802.1Q - Multiple Multicast Registration Protocol (MMRP)
0x88F7 	Precision Time Protocol (IEEE 1588)
0x8902 	IEEE 802.1ag Connectivity Fault Management (CFM) Protocol
0x8906 	Fibre Channel over Ethernet (FCoE)
0x890D 	IEEE Std 802.11 - Fast Roaming Remote Request (802.11r)
0x8914 	FCoE Initialization Protocol
0x8915 	RDMA over Converged Ethernet (RoCE)
0x8917 	IEEE Std 802.21 - Media Independent Handover Protocol
0x8929 	IEEE Std 802.1Qbe - Multiple I-SID Registration Protocol
0x892F 	High-availability Seamless Redundancy (HSR)
0x893B 	TRILL Fine Grained Labeling (FGL)
