%num	version	num_ciphers	ciphers[]	num_ext	ext[]	flags	OS	vOS	browser_ver	comment
34	0x0301	9	c00a,c009,c007,*,33,39,16,15,14	3	?0,a,b	0x00	 iOS	old PowerPC box	Safari_iOS-4.X	 iPhone iPad
35	0x0303	8	ff,c024,c023,c00a,*,33,39,16	4	?0,a,b,d	0x00	 iOS	old PowerPC box	Safari_iOS-5.X	 iPhone iPad
36	0x0301	17	39,38,37,36,35,33,32,31,30,2f,5,4,13,d,16,10,a	3	?0,ff01,5	0x00	 Windows,unix	old PowerPC box	Opera-Mini_11.X	 Weird Mobile
37	0x0301	18	ff,39,38,37,36,35,33,32,31,30,2f,5,4,13,d,16,10,a	3	?0,ff01,5	0x00	 Windows,unix	old PowerPC box	Opera-Mini_11.X	 Weird Mobile
38	0x0301	11	39,38,35,16,13,a,33,32,2f,5,4	1	?0	0x00	 Touchpad	old PowerPC box	HP-tablet_unknown	 Weird Mobile
39	0x0302	27	6b,6a,69,68,3d,39,38,37,36,35,67,40,3f,3e,3c,33,32,31,30,2f,5,4,13,d,16,10,a	2	?0,5	0x02	 Windows,unix	old PowerPC box	Opera_10.x---11.00	 Opera
40	0x0303	27	6b,6a,69,68,3d,39,38,37,36,35,67,40,3f,3e,3c,33,32,31,30,2f,5,4,13,d,16,10,a	4	?0,ff01,5,d	0x02	 Windows,unix	old PowerPC box	Opera_10.x---11.00	 Opera
41	0x0301	27	6b,6a,69,68,3d,39,38,37,36,35,67,40,3f,3e,3c,33,32,31,30,2f,5,4,13,d,16,10,a	3	?0,ff01,5	0x00	 Windows,unix	old PowerPC box	Opera_11.52_newer	 Opera
42	0x0301	28	ff,6b,6a,69,68,3d,39,38,37,36,35,67,40,3f,3e,3c,33,32,31,30,2f,5,4,13,d,16,10,a	3	?0,ff01,5	0x00	 Windows,unix	old PowerPC box	Opera_11.52_newer	 Opera
43	0x0301	12	*,6b,6a,69,68,3d,*,13,d,16,10,a	3	?0,?ff01,5	0x00	 Windows,unix	old PowerPC box	Opera	 On second connection Opera replies with the last used crypto in a first place I guess
44	0x0301	12	*,39,38,37,36,35,*,13,d,16,10,a	3	?0,?ff01,5	0x00	 Windows,unix	old PowerPC box	Opera	 On second connection Opera replies with the last used crypto in a first place I guess
45	0x0302	12	*,6b,6a,69,68,3d,*,13,d,16,10,a	3	?0,?ff01,5	0x00	 Windows,unix	old PowerPC box	Opera	 On second connection Opera replies with the last used crypto in a first place I guess
46	0x0302	12	*,39,38,37,36,35,*,13,d,16,10,a	3	?0,?ff01,5	0x00	 Windows,unix	old PowerPC box	Opera	 On second connection Opera replies with the last used crypto in a first place I guess
47	0x0303	12	*,6b,6a,69,68,3d,*,13,d,16,10,a	3	?0,?ff01,5	0x00	 Windows,unix	old PowerPC box	Opera	 On second connection Opera replies with the last used crypto in a first place I guess
48	0x0303	12	*,39,38,37,36,35,*,13,d,16,10,a	3	?0,?ff01,5	0x00	 Windows,unix	old PowerPC box	Opera	 On second connection Opera replies with the last used crypto in a first place I guess
49	0x0301	12	33,16,39,2f,a,35,5,4,32,13,38,66	0	-	0x20	 unix	old PowerPC box	gnutls	 Various things
50	0x0302	17	2f,5,4,a,35,32,66,13,38,33,16,39,34,18,1b,3a,3	0	-	0x00	 unix	old PowerPC box	gnutls	 Various things
51	0x0303	24	3c,2f,5,4,a,3d,35,40,32,66,13,6a,38,67,33,16,6b,39,6c,34,18,1b,6d,3a	2	ff01,d	0x00	 unix	old PowerPC box	gnutls	 Various things
52	0x0301	12	*,2f,5,4,a,*,35,*,18,1b,3a,*	1	*	0x00	 unix	old PowerPC box	gnutls	 Various things
53	0x0301	20	39,38,35,16,13,a,33,32,2f,5,4,15,12,9,14,11,8,6,3,ff	1	23	0x20	 unix	old PowerPC box	openssl	 Various things
54	0x0301	20	39,38,35,16,13,a,33,32,2f,5,4,15,12,9,14,11,8,6,3,ff	1	?0	0x20	 unix	old PowerPC box	openssl	 Various things
55	0x0301	20	39,38,35,16,13,a,33,32,2f,5,4,15,12,9,14,11,8,6,3,ff	2	?0,23	0x00	 unix	old PowerPC box	openssl	 Various things
56	0x0301	23	39,38,35,16,13,a,33,32,2f,9a,99,96,5,4,15,12,9,14,11,8,6,3,ff	2	?0,23	0x20	 unix	old PowerPC box	openssl	 Various things
57	0x0301	23	39,38,35,16,13,a,33,32,2f,9a,99,96,5,4,15,12,9,14,11,8,6,3,ff	1	?0	0x20	 unix	old PowerPC box	openssl	 Various things
58	0x0301	29	39,38,35,16,13,a,700c0,33,32,2f,9a,99,96,30080,5,4,10080,15,12,9,60040,14,11,8,6,40080,3,20080,ff	0	-	0x01	 unix	old PowerPC box	openssl	 darwin
59	0x0301	26	39,38,35,16,13,a,700c0,33,32,2f,30080,5,4,10080,15,12,9,60040,14,11,8,6,40080,3,20080,ff	0	-	0x01	 unix	old PowerPC box	openssl	 darwin
60	0x0301	29	39,38,88,87,35,84,16,13,a,33,32,9a,99,45,44,2f,96,41,5,4,15,12,9,14,11,8,6,3,ff	1	23	0x20	 unix	old PowerPC box	openssl	 darwin
61	0x0301	15	c014,c00a,39,38,88,87,c00f,c005,35,84,*,8,6,3,ff	3	b,a,23	0x20	 unix	old PowerPC box	openssl	 darwin
62	0x0301	15	c014,c00a,39,38,88,87,c00f,c005,35,84,*,8,6,3,ff	3	?0,b,a	0x20	 unix	old PowerPC box	openssl	 darwin
63	0x0300	11	33,39,16,32,38,13,2f,35,a,5,4	0	-	0x00	 Linux	old PowerPC box	Epiphany_2.X	 darwin
